2101;Benešov;61122;30195;30927;42,3;41,1;43,5;
2102;Beroun;66476;32718;33758;40,7;39,4;41,9;
2103;Brandýs nad Labem-Stará Boleslav;114553;56553;58000;38,6;37,6;39,6;
2104;Čáslav;25716;12728;12988;42,9;41,6;44,2;
2105;Černošice;151093;73884;77209;39,4;38,5;40,2;
2106;Český Brod;19766;9789;9977;40,1;39,1;41,1;
2107;Dobříš;23359;11552;11807;41,6;40,4;42,8;
2108;Hořovice;30148;15181;14967;42,9;41,7;44,1;
2109;Kladno;123904;60338;63566;42,4;40,9;43,8;
2110;Kolín;84128;42037;42091;42,2;40,7;43,8;
2111;Kralupy nad Vltavou;32665;16219;16446;41,2;40,0;42,5;
2112;Kutná Hora;49967;24865;25102;43,6;42,3;44,9;
2113;Lysá nad Labem;29537;14520;15017;38,3;37,3;39,2;
2114;Mělník;44757;22266;22491;42,0;40,6;43,3;
2115;Mladá Boleslav;109665;55104;54561;41,9;40,7;43,1;
2116;Mnichovo Hradiště;17927;8949;8978;41,9;40,7;43,1;
2117;Neratovice;31932;15759;16173;41,7;40,3;43,0;
2118;Nymburk;40221;19846;20375;42,5;41,2;43,8;
2119;Poděbrady;31362;15406;15956;43,3;41,9;44,8;
2120;Příbram;69222;34001;35221;43,6;42,1;45,1;
2121;Rakovník;54898;27184;27714;43,3;41,9;44,6;
2122;Říčany;73831;36349;37482;39,3;38,4;40,2;
2123;Sedlčany;21785;10903;10882;43,7;42,2;45,2;
2124;Slaný;40589;20200;20389;42,0;40,7;43,2;
2125;Vlašim;25744;12770;12974;43,5;42,1;44,8;
2126;Votice;12457;6176;6281;43,1;41,9;44,4;
3101;Blatná;13328;6641;6687;44,8;43,0;46,6;
3102;České Budějovice;162394;79334;83060;42,4;41,1;43,7;
3103;Český Krumlov;40714;20405;20309;42,3;41,3;43,3;
3104;Dačice;18396;9231;9165;44,0;42,7;45,3;
3105;Jindřichův Hradec;46461;22874;23587;43,7;42,4;45,0;
3106;Kaplice;19382;9969;9413;41,8;40,4;43,3;
3107;Milevsko;18025;8979;9046;45,5;44,0;47,0;
3108;Písek;52744;26025;26719;43,5;42,1;44,9;
3109;Prachatice;33078;16654;16424;42,8;41,6;44,1;
3110;Soběslav;21927;10872;11055;44,0;42,8;45,1;
3111;Strakonice;44662;21973;22689;43,5;42,0;44,9;
3112;Tábor;79436;39201;40235;43,7;42,3;45,1;
3113;Trhové Sviny;19234;9658;9576;42,0;41,0;43,0;
3114;Třeboň;24426;11992;12434;44,4;43,1;45,6;
3115;Týn nad Vltavou;13905;6941;6964;42,3;41,2;43,4;
3116;Vimperk;17152;8571;8581;43,4;42,1;44,6;
3117;Vodňany;11783;5922;5861;42,4;41,2;43,6;
3201;Blovice;12200;6125;6075;43,1;41,9;44,2;
3202;Domažlice;39785;19631;20154;43,2;42,1;44,2;
3203;Horažďovice;11415;5728;5687;45,0;43,3;46,7;
3204;Horšovský Týn;14606;7385;7221;42,3;41,3;43,4;
3205;Klatovy;49748;24556;25192;43,7;42,5;45,0;
3206;Kralovice;22495;11392;11103;43,7;42,7;44,8;
3207;Nepomuk;11066;5594;5472;44,6;43,6;45,6;
3208;Nýřany;58171;29086;29085;41,6;40,5;42,6;
3209;Plzeň;188407;91990;96417;43,4;41,8;44,8;
3210;Přeštice;22476;11202;11274;42,5;41,3;43,7;
3211;Rokycany;48770;24321;24449;43,2;41,9;44,5;
3212;Stod;23176;11613;11563;42,4;41,3;43,6;
3213;Stříbro;16761;8373;8388;42,5;41,3;43,6;
3214;Sušice;23451;11602;11849;44,8;43,4;46,2;
3215;Tachov;36180;18147;18033;41,9;40,9;43,0;
4101;Aš;16871;8439;8432;42,4;40,9;43,8;
4102;Cheb;47890;23660;24230;43,0;41,7;44,3;
4103;Karlovy Vary;83689;40907;42782;44,5;43,1;45,8;
4104;Kraslice;12666;6415;6251;43,7;42,5;45,0;
4105;Mariánské Lázně;23197;11315;11882;44,8;42,7;46,7;
4106;Ostrov;26363;13027;13336;43,6;42,4;44,9;
4107;Sokolov;72534;36063;36471;42,7;41,3;44,1;
4201;Bílina;19400;9676;9724;42,0;40,7;43,4;
4202;Děčín;74944;37134;37810;43,2;41,8;44,6;
4203;Chomutov;79204;39121;40083;42,2;40,9;43,5;
4204;Kadaň;42276;21171;21105;42,5;41,3;43,7;
4205;Litoměřice;57785;28641;29144;42,8;41,5;44,1;
4206;Litvínov;35650;17655;17995;43,5;42,0;44,8;
4207;Louny;42895;21245;21650;42,7;41,3;44,0;
4208;Lovosice;27238;13540;13698;42,9;41,6;44,2;
4209;Most;71123;34814;36309;42,4;40,7;44,0;
4210;Podbořany;15472;7687;7785;42,6;41,5;43,8;
4211;Roudnice nad Labem;32559;16163;16396;42,5;41,1;43,9;
4212;Rumburk;31999;15921;16078;42,5;41,1;43,8;
4213;Teplice;105072;51776;53296;42,9;41,4;44,3;
4214;Ústí nad Labem;116916;57406;59510;42,5;41,0;43,9;
4215;Varnsdorf;19351;9551;9800;43,2;41,9;44,6;
4216;Žatec;27014;13280;13734;42,1;41,0;43,1;
5101;Česká Lípa;75831;37649;38182;41,9;40,6;43,2;
5102;Frýdlant;24268;12157;12111;42,4;41,4;43,4;
5103;Jablonec nad Nisou;55814;27188;28626;42,7;41,1;44,3;
5104;Jilemnice;21605;10891;10714;43,8;42,3;45,2;
5105;Liberec;144062;70705;73357;42,3;40,8;43,7;
5106;Nový Bor;26131;12886;13245;43,7;42,3;45,1;
5107;Semily;25300;12639;12661;43,7;42,0;45,4;
5108;Tanvald;19919;9922;9997;44,3;42,8;45,7;
5109;Turnov;32632;16084;16548;43,2;41,8;44,6;
5110;Železný Brod;12008;5909;6099;43,7;42,3;45,1;
5201;Broumov;15476;7720;7756;44,2;42,6;45,8;
5202;Dobruška;19907;9852;10055;43,1;41,9;44,4;
5203;Dvůr Králové nad Labem;26622;13240;13382;44,4;42,8;45,9;
5204;Hořice;18087;9000;9087;43,9;42,3;45,4;
5205;Hradec Králové;144847;70523;74324;43,7;42,0;45,2;
5206;Jaroměř;19176;9540;9636;42,2;40,8;43,7;
5207;Jičín;47589;23701;23888;43,2;41,8;44,7;
5208;Kostelec nad Orlicí;24858;12357;12501;43,4;42,1;44,6;
5209;Náchod;59412;29222;30190;44,1;42,5;45,6;
5210;Nová Paka;13037;6430;6607;43,9;42,3;45,4;
5211;Nové Město nad Metují;13909;6870;7039;44,4;42,9;45,9;
5212;Nový Bydžov;17553;8712;8841;43,3;41,9;44,6;
5213;Rychnov nad Kněžnou;33659;16893;16766;42,7;41,3;44,1;
5214;Trutnov;61713;30499;31214;43,7;42,1;45,3;
5215;Vrchlabí;26738;13141;13597;43,5;42,1;44,8;
5301;Česká Třebová;17644;8652;8992;43,8;42,3;45,2;
5302;Hlinsko;20765;10378;10387;43,5;42,0;45,0;
5303;Holice;17945;8951;8994;42,1;40,7;43,5;
5304;Chrudim;82981;41274;41707;43,0;41,5;44,5;
5305;Králíky;8376;4156;4220;43,6;42,5;44,7;
5306;Lanškroun;22498;11173;11325;42,2;40,7;43,6;
5307;Litomyšl;26780;13283;13497;42,3;41,2;43,4;
5308;Moravská Třebová;25775;12880;12895;43,6;42,1;45,0;
5309;Pardubice;128883;63542;65341;42,7;41,1;44,3;
5310;Polička;19435;9644;9791;42,7;41,3;44,1;
5311;Přelouč;25396;12749;12647;43,1;41,8;44,4;
5312;Svitavy;30876;15141;15735;43,0;41,6;44,3;
5313;Ústí nad Orlicí;26106;12939;13167;43,1;41,5;44,7;
5314;Vysoké Mýto;32082;16041;16041;42,9;41,4;44,5;
5315;Žamberk;28976;14552;14424;42,0;40,9;43,1;
6101;Bystřice nad Pernštejnem;19463;9783;9680;43,7;42,3;45,1;
6102;Havlíčkův Brod;52820;26232;26588;42,8;41,4;44,2;
6103;Humpolec;17710;8844;8866;43,3;42,0;44,6;
6104;Chotěboř;21532;10700;10832;43,9;42,8;45,1;
6105;Jihlava;99606;49683;49923;42,6;41,2;43,9;
6106;Moravské Budějovice;22697;11386;11311;43,7;42,1;45,2;
6107;Náměšť nad Oslavou;13329;6673;6656;43,6;42,1;45,0;
6108;Nové Město na Moravě;19169;9567;9602;43,0;41,9;44,0;
6109;Pacov;9207;4610;4597;45,3;43,6;47,0;
6110;Pelhřimov;44654;22206;22448;44,0;42,6;45,4;
6111;Světlá nad Sázavou;19340;9619;9721;44,6;43,4;45,7;
6112;Telč;12809;6416;6393;43,5;42,0;45,1;
6113;Třebíč;73157;36133;37024;43,5;42,1;44,9;
6114;Velké Meziříčí;36332;18198;18134;41,4;39,9;42,8;
6115;Žďár nad Sázavou;42200;20940;21260;43,3;41,9;44,6;
6201;Blansko;56155;27701;28454;43,1;41,6;44,7;
6202;Boskovice;51757;25494;26263;42,6;41,3;43,9;
6203;Brno;379466;184748;194718;42,9;41,1;44,6;
6204;Břeclav;58281;28556;29725;43,8;42,1;45,4;
6205;Bučovice;16225;8116;8109;42,5;41,3;43,8;
6206;Hodonín;59605;29376;30229;43,8;42,2;45,4;
6207;Hustopeče;36205;18024;18181;42,5;41,1;44,0;
6208;Ivančice;24509;12239;12270;42,5;41,2;43,8;
6209;Kuřim;23345;11417;11928;41,4;40,2;42,6;
6210;Kyjov;54837;27233;27604;43,8;42,2;45,4;
6211;Mikulov;20315;10023;10292;42,7;41,4;44,0;
6212;Moravský Krumlov;22425;11157;11268;43,1;42,0;44,1;
6213;Pohořelice;14982;7494;7488;40,9;39,6;42,2;
6214;Rosice;26446;13054;13392;41,6;40,1;43,0;
6215;Slavkov u Brna;24284;12057;12227;40,5;39,4;41,6;
6216;Šlapanice;70716;34927;35789;40,8;39,7;41,8;
6217;Tišnov;31853;15701;16152;41,7;40,5;42,8;
6218;Veselí nad Moravou;36654;18130;18524;44,7;43,0;46,4;
6219;Vyškov;51808;25533;26275;42,6;41,2;43,9;
6220;Znojmo;91037;44938;46099;42,6;41,2;44,0;
6221;Židlochovice;33663;16755;16908;40,7;39,2;42,1;
7101;Hranice;33567;16548;17019;43,1;41,6;44,5;
7102;Jeseník;36752;18220;18532;44,5;43,0;45,9;
7103;Konice;10553;5321;5232;44,6;43,1;46,0;
7104;Lipník nad Bečvou;14960;7456;7504;43,0;41,6;44,3;
7105;Litovel;23524;11702;11822;43,1;41,8;44,3;
7106;Mohelnice;18212;9075;9137;43,0;41,3;44,7;
7107;Olomouc;164208;79546;84662;42,6;41,0;44,1;
7108;Prostějov;97027;47362;49665;43,1;41,6;44,5;
7109;Přerov;78086;38260;39826;44,4;42,7;46,1;
7110;Šternberk;23816;11789;12027;42,7;41,3;44,1;
7111;Šumperk;67419;33214;34205;44,1;42,5;45,6;
7112;Uničov;22040;10890;11150;43,4;41,8;45,1;
7113;Zábřeh;32766;16066;16700;43,2;41,9;44,4;
7201;Bystřice pod Hostýnem;14956;7395;7561;44,3;42,6;46,0;
7202;Holešov;21425;10523;10902;43,3;41,9;44,6;
7203;Kroměříž;67064;32792;34272;43,8;42,0;45,5;
7204;Luhačovice;18272;8995;9277;44,2;42,5;45,9;
7205;Otrokovice;33487;16565;16922;44,2;42,3;46,0;
7206;Rožnov pod Radhoštěm;34565;16970;17595;43,9;42,4;45,4;
7207;Uherské Hradiště;88654;43442;45212;43,8;42,2;45,3;
7208;Uherský Brod;51175;25521;25654;43,8;42,1;45,4;
7209;Valašské Klobouky;22727;11461;11266;42,3;40,6;44,0;
7210;Valašské Meziříčí;41459;20507;20952;42,7;40,9;44,5;
7211;Vizovice;16981;8450;8531;42,2;41,1;43,2;
7212;Vsetín;64147;31639;32508;43,3;41,6;45,0;
7213;Zlín;97520;47390;50130;44,0;42,1;45,7;
8101;Bílovec;25463;12644;12819;42,7;41,2;44,2;
8102;Bohumín;33308;16509;16799;43,4;41,8;45,0;
8103;Bruntál;35566;17651;17915;43,4;42,0;44,8;
8104;Český Těšín;24826;12078;12748;43,4;41,9;44,8;
8105;Frenštát pod Radhoštěm;19303;9573;9730;42,6;40,8;44,4;
8106;Frýdek-Místek;111311;54965;56346;42,7;41,3;44,0;
8107;Frýdlant nad Ostravicí;24915;12345;12570;43,3;42,0;44,5;
8108;Havířov;84518;41374;43144;44,4;42,5;46,3;
8109;Hlučín;40254;19691;20563;42,9;41,3;44,4;
8110;Jablunkov;22364;11087;11277;41,5;40,1;42,9;
8111;Karviná;60854;29909;30945;44,5;42,7;46,3;
8112;Kopřivnice;40184;19953;20231;42,8;41,1;44,4;
8113;Kravaře;21023;10410;10613;41,7;40,3;43,1;
8114;Krnov;39120;19336;19784;44,1;42,4;45,6;
8115;Nový Jičín;48118;23647;24471;42,4;40,9;43,8;
8116;Odry;16851;8385;8466;42,4;41,2;43,6;
8117;Opava;99316;48419;50897;43,2;41,5;44,8;
8118;Orlová;36813;18116;18697;42,8;41,4;44,1;
8119;Ostrava;312104;152098;160006;43,5;41,6;45,2;
8120;Rýmařov;14861;7505;7356;44,9;43,1;46,7;
8121;Třinec;53757;26425;27332;43,3;41,6;44,9;
8122;Vítkov;13160;6601;6559;43,3;41,9;44,7;
